measure_id,label,role,source_table,record_rule,time_window,numerator,denominator,operational_threshold,permitted_use,claim_limit
M01,Recorded scheduled follow-up by day 30,process,encounters,encounterclass in scheduled classes,days greater than 0 through 30,people with at least one qualifying record,476 landmark-eligible people,0.10,describe pathway reach and synthetic-site variation,record occurrence does not prove offer attendance access quality need or benefit
M02,Continued scheduled-care record by day 90,process,encounters,encounterclass in scheduled classes,days greater than 30 through 90,people with at least one qualifying record,people in the comparison group,0.10,compare recorded continuation after the landmark,not continuity quality need access or causal pathway effect
M03,Any scheduled-care record after landmark,process,encounters,encounterclass in scheduled classes,days greater than 30 through 365,people with at least one qualifying record,people in the comparison group,0.10,compare later recorded scheduled care,not catch-up benefit unmet need or causal pathway effect
M04,Any medication-order record after landmark,treatment_record,medications,any medication row,days greater than 30 through 365,people with at least one qualifying row,people in the comparison group,0.10,describe recorded treatment exposure,not dispensing possession ingestion adherence correct use efficacy or preference
M05,Medication-reconciliation procedure record after landmark,procedure_record,procedures,description equals Medication Reconciliation (procedure),days greater than 30 through 365,people with at least one qualifying row,people in the comparison group,0.10,describe a transition-relevant procedure record,not proof that a validated reconciliation process was completed
M06,Any procedure record after landmark,procedure_record,procedures,any procedure row,days greater than 30 through 365,people with at least one qualifying row,people in the comparison group,0.10,inspect procedure-record variation and composition,not quality appropriateness need overuse underuse or effect
M07,All encounter-record rate after landmark,utilization_record,encounters,any encounter row,days greater than 30 through 365,qualifying encounter rows,335 person-days per person,,describe source-record utilization intensity,not real utilization need access overuse or underuse
M08,Scheduled encounter-record rate after landmark,utilization_record,encounters,encounterclass in scheduled classes,days greater than 30 through 365,qualifying encounter rows,335 person-days per person,,describe scheduled source-record intensity,not real utilization continuity access quality or benefit
M09,Acute encounter-record rate after landmark,utilization_record,encounters,encounterclass in acute classes,days greater than 30 through 365,qualifying encounter rows,335 person-days per person,,describe acute source-record intensity,not preventable use safety failure or causal effect
M10,Later acute return by day 365,outcome,analysis-cohort,event_indicator equals 1,days greater than 30 through 365,people with accepted outcome,people in the comparison group,0.05,carry the frozen primary outcome into variation interpretation,not causal effect risk adjustment repair or real return rate
M11,Medication-reconciliation record by day 30 among recorded follow-up,procedure_record,procedures,description equals Medication Reconciliation (procedure),days greater than 0 through 30,people with qualifying row,129 people with recorded scheduled follow-up,,audit measure fidelity within the recorded pathway,not a validated reconciliation rate or proof of completed reconciliation
