measure_id,measure_name,domain,numerator_definition,denominator_definition,cadence,source,owner,unavailable_state,direction,teaching_threshold,threshold_origin,human_response,automatic_action,interpretation_limit,numerator,denominator,observed_value,result,review_triggered
M01,Selected-area operational readiness,readiness,selected tracts not marked staff-not-ready,all 28 carried tracts,before start and weekly,Module 05 planning layer,program operations owner,not assessed,higher,1.00,course teaching contract,hold any not-ready tract for human review,no,"fictional monitoring design, not a validated operational or clinical measure",23,28,0.821429,triggered,yes
M02,Selected-area travel concern,access,selected tracts below 60 fictional travel minutes,all 28 carried tracts,before start and monthly,Module 05 planning layer,access owner,not assessed,higher,1.00,course teaching contract,revise modality and site plan,no,"fictional monitoring design, not a validated operational or clinical measure",16,28,0.571429,triggered,yes
M03,Offer tests processed,reach,dry-run records processed,all 280 dry-run records,weekly,fictional dry-run,monitoring owner,fixture absent,higher,0.95,course teaching trigger,review readiness holds,no,"fictional monitoring design, not a validated operational or clinical measure",230,280,0.821429,triggered,yes
M04,Response available,reach,"processed tests with interested, declined, or no-response state",processed offer tests,weekly,fictional dry-run,monitoring owner,no processed tests,higher,1.00,course teaching trigger,repair response capture,no,"fictional monitoring design, not a validated operational or clinical measure",230,230,1,pass,no
M05,Fictional interest,uptake,interested test responses,processed offer tests,weekly,fictional dry-run,monitoring owner,no processed tests,descriptive,none,no action threshold,report without performance claim,no,"fictional monitoring design, not a validated operational or clinical measure",151,230,0.656522,descriptive_only,not_applicable
M06,Fictional refusal,choice,declined test responses,processed offer tests,weekly,fictional dry-run,community accountability owner,no processed tests,descriptive,none,no action threshold,preserve refusal without penalty,no,"fictional monitoring design, not a validated operational or clinical measure",33,230,0.143478,descriptive_only,not_applicable
M07,Language access delivered,access,language-access tests provided when needed,tests with language-access need,weekly,fictional dry-run,language access owner,no tested need,higher,1.00,course teaching trigger,pause affected path and correct,no,"fictional monitoring design, not a validated operational or clinical measure",69,73,0.945205,triggered,yes
M08,Disability access delivered,access,disability-access tests provided when needed,tests with disability-access need,weekly,fictional dry-run,disability access owner,no tested need,higher,1.00,course teaching trigger,pause affected path and correct,no,"fictional monitoring design, not a validated operational or clinical measure",44,47,0.93617,triggered,yes
M09,Scheduling completed,delivery,interested tests scheduled,interested test responses,weekly,fictional dry-run,program operations owner,no interested tests,higher,0.90,course teaching trigger,review scheduling and access,no,"fictional monitoring design, not a validated operational or clinical measure",137,151,0.907285,pass,no
M10,Attendance,delivery,scheduled tests marked attended,scheduled tests,weekly,fictional dry-run,program operations owner,no scheduled tests,descriptive,none,no action threshold,report without outcome claim,no,"fictional monitoring design, not a validated operational or clinical measure",117,137,0.854015,descriptive_only,not_applicable
M11,Completion,delivery,attended tests marked complete,attended tests,monthly,fictional dry-run,program operations owner,no attended tests,descriptive,none,no action threshold,report without outcome claim,no,"fictional monitoring design, not a validated operational or clinical measure",94,117,0.803419,descriptive_only,not_applicable
M12,Fidelity,implementation,attended tests passing the fictional fidelity check,attended tests,weekly,fictional dry-run,implementation owner,no attended tests,higher,0.90,course teaching trigger,review workflow and training,no,"fictional monitoring design, not a validated operational or clinical measure",106,117,0.905983,pass,no
M13,Low burden,balancing,processed tests with burden score at or below 3,processed offer tests,weekly,fictional dry-run,community accountability owner,no processed tests,higher,0.90,course teaching trigger,revise modality and workload,no,"fictional monitoring design, not a validated operational or clinical measure",217,230,0.943478,pass,no
M14,Feedback captured,feedback,processed tests with a feedback state,processed offer tests,weekly,fictional dry-run,community accountability owner,no processed tests,higher,1.00,course teaching trigger,repair feedback capture,no,"fictional monitoring design, not a validated operational or clinical measure",230,230,1,pass,no
M15,Objection tests resolved,recourse,objection tests routed to hold and review,tests with objection,immediate,fictional dry-run,community review council,no objection tests,higher,1.00,course teaching trigger,hold and review every objection,no,"fictional monitoring design, not a validated operational or clinical measure",14,14,1,pass,no
M16,Incident-free dry run,safety,processed tests without an incident,processed offer tests,weekly,fictional dry-run,safety and privacy owner,no processed tests,higher,0.98,course teaching trigger,escalate and investigate incidents,no,"fictional monitoring design, not a validated operational or clinical measure",209,230,0.908696,triggered,yes
M17,Escalation routed,governance,incident tests with a named escalation route,tests with an incident,immediate,fictional dry-run,program steward,no incident tests,higher,1.00,course teaching trigger,stop until routing is complete,no,"fictional monitoring design, not a validated operational or clinical measure",23,23,1,pass,no
M18,Pause trigger honored,governance,tests requiring pause marked paused,tests requiring pause,immediate,fictional dry-run,program steward,no pause-required tests,higher,1.00,course teaching trigger,stop until pause is honored,no,"fictional monitoring design, not a validated operational or clinical measure",72,72,1,pass,no
M19,Outcome availability,evaluation,records with an outcome,all 280 dry-run records,end of exercise,fictional dry-run,evaluation methods owner,fixture absent,descriptive,none,outcomes intentionally unavailable,make no effect estimate,no,"fictional monitoring design, not a validated operational or clinical measure",0,280,0,descriptive_only,not_applicable
M20,Real-world action,authority,records causing real action,all 280 dry-run records,continuous,release audit,program steward,not assessed,lower,0.00,hard authority boundary,stop release if any real action appears,no,"fictional monitoring design, not a validated operational or clinical measure",0,280,0,pass,no
