rule_id,measure_id,response_level,confirmation_owner,decision_owner,fallback_state,restart_condition,automatic_action,source_path
E01,M01,investigate,flow lead,operations council,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
E02,M02,investigate,flow lead,operations council,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
E03,M04,investigate,access lead,operations council,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
E04,supplemental,pause review,clinical lead,clinical performance council,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
E05,M10,pause review,access lead,clinical performance council,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
E06,M11,pause review,access lead,clinical performance council,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
E07,M07,investigate,workforce lead,operations council,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
E08,M08,immediate clinical review,safety lead,clinical safety authority,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
E09,M09,interpretability gate,quality lead,quality council,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
E10,M12,baseline required,workforce lead,operations council,continue no-change monitoring,"new evidence, clinician leadership review, and explicit authorization",0,evidence/checkpoint2/candidate/module-06/outputs/escalation-fallback.csv
